/name,/id,/keyword,/posts/origLang,/posts/id,/posts/message,/posts/comments/origLang,/posts/comments/id,/posts/comments/message
"Adalimumab","110705252291839","Adalimumab",,,,,,
"Humira - Adalimumab","1687275228159822","Adalimumab","en","1687275228159822_1722191808001497","Hi I have a question I've been on Humira for 2 years and noticed that it starts to wear off about 4 days on average before I'm due for my next injection. My doctor spoke with me about trying to do two shots on the same day but I've heard that others take it weekly instead? Is taking weekly injections for A.S. approved?",,,
"Humira - Adalimumab","1687275228159822","Adalimumab","","1687275228159822_1687284041492274","http://humira-adalimumab.blogspot.ro/",,,
"Humira - Adalimumab","1687275228159822","Adalimumab","","1687275228159822_1687278558159489",,,,
"Humira - Adalimumab","1687275228159822","Adalimumab","","1687275228159822_1687275878159757",,,,
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","hu","1077097489075364_1222309991220779","Kedves tagok, oldal kedvelők ! \nAz oldal Magyar nyelvű oldal!\nNem reklám céljából készült!\nPróbál segíteni  régi vagy új Humira terápiában részesedő beteg részére információkat gyűjteni a gyógyszer alkalmazásáról , hatásairól. \nKérlek benneteket a gyógyszer alkalmazásának módjáról, használatának sűrűségéről, vagy beszerzésének módjáról, informálódjatok immunológus orvosnál! \nKöszönöm szépen . További szép estét, és kellemes hétvégét kívánok mindenkinek",,,
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","","1077097489075364_1183381655113613",,,,
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","hr","1077097489075364_1169287796522999","2017. 01. 04 Humira Pen injektálva",,,
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","de","1077097489075364_1165756500209462","BUÉK",,,
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","hu","1077097489075364_1159776294140816","Áldott, békés ünnepeket kívánunk mindenkinek!",,,
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","","1077097489075364_1154187388033040",,"hr","1154187371366375_1154191274699318","Dobar lijek primio Sam"
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","","1077097489075364_1154187388033040",,"pl","1154187371366375_1154191528032626","84 doze"
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","hr","1077097489075364_1154184488033330","2016.12.14 Humira ( Pen ) injektálva",,,
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","hu","1077097489075364_1121900451261734","2016.11.23 Injektálva Humira Pen (fájdalommentes injektálás!)",,,
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","hr","1077097489075364_1108526249265821","2016.11.09 Humira injektálva",,,
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","pt","1077097489075364_1102785053173274","2016.11.04 Pécs Humira Pen",,,
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","hu","1077097489075364_1094263857358727","2016.10.26. Szerda  Humira injektálva",,,
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","hu","1077097489075364_1083181491800297","Kedves látogatók, laikoljátok az oldalt, és posztoljatok, kommentáljatok  bátran , osszátok meg a tapasztalataitokat az élményeiteket, észrevételeiteket a gyógyszerel kapcsolatban, Magyar nyelven, hogy minden Magyar ember, legyen az idős, vagy  fiatal, anyanyelvén tudakozhasson , kaphasson választ a kérdéseire ! Minél több tagja van az oldalnak, annál nagyobb az \"ablak\" amin kitekinthetünk, hogy a kérdéseinkre választ kaphassunk .",,,
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","hu","1077097489075364_1077125845739195","Humira injekciós toll (Pen) A beadási foyamatának megtekintéséhez kérjük , látogassa meg az alábbi weboldalt.\nwww.humira toll beadas.jbs.hu\nBelépési jelszó: HumiraToll",,,
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","hu","1077097489075364_1077119069073206","Üdv új hír kedves betegtársak, nemsokára Humira Pen , az az injekciós toll lesz a régi előre töltött fecskendők helyett .",,,
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","","1077097489075364_1077115819073531",,,,
"Humira 40 mg Adalimumab oldatos injekció - Hungary","1077097489075364","Adalimumab","","1077097489075364_1077115472406899",,,,
