/name,/id,/keyword,/posts/origLang,/posts/id,/posts/message,/posts/comments/comments,/posts/comments/origLang,/posts/comments/id,/posts/comments/message,/posts/comments/likes
"Humira","106542609382249","Humira",,,,,,,,
"Humira - Adalimumab","1687275228159822","Humira","en","1687275228159822_1722191808001497","Hi I have a question I've been on Humira for 2 years and noticed that it starts to wear off about 4 days on average before I'm due for my next injection. My doctor spoke with me about trying to do two shots on the same day but I've heard that others take it weekly instead? Is taking weekly injections for A.S. approved?",,,,,
"Humira - Adalimumab","1687275228159822","Humira","","1687275228159822_1687284041492274","http://humira-adalimumab.blogspot.ro/",,,,,
"Humira - Adalimumab","1687275228159822","Humira","","1687275228159822_1687278558159489",,,,,,
"Humira - Adalimumab","1687275228159822","Humira","","1687275228159822_1687275878159757",,,,,,
"Humira","899596710144808","Humira",,,,,,,,
"Humira","269906376385108","Humira","de","269906376385108_687320124643729","Schade das auf dieser Seite nicht mehr Komentare ausgetauscht werden\nWäre intressant wie es andern damit ergeht",,"de","687320124643729_745494768826264","Finde ich auch",
"Humira","269906376385108","Humira","","269906376385108_397224617066393","http://wp.rxisk.org/rxisk-org-koordiniert-die-petition/",,,,,
"Humira","269906376385108","Humira","tr","269906376385108_537039259671817","türkce bilen yokmu\n",,"de","537039259671817_6091889","mal übersetzen bitte !!!!!!!!!!!!!!!!!",
"Humira","269906376385108","Humira","de","269906376385108_486351051407305","Ich wusste gar nicht das es über dieses Medi eine Seite gibt. Finde ich ja mal cool.. :-)",,,,,
"Humira","269906376385108","Humira","en","269906376385108_469379353104475","Anyone speaking english here?\n",,"en","469379353104475_755913011117773","I speak English",
"Humira","269906376385108","Humira","en","269906376385108_469379353104475","Anyone speaking english here?\n",,"en","469379353104475_756119941097080","Oh...It has been so long since I wrote this. I don`t remember what I was wondering about. My husband has been taking humira every 14 day for his chrons desice for allmost 2 years now, and it is working grate.",
"Humira","269906376385108","Humira","de","269906376385108_469243946451349","Mus mal fragen. Was sind sure erfahrungen mit humira? Ich soll morgen damit anfangen und bin mir bis jetzte noch nicht sicher oder total je erzeugt davon.",,"en","469243946451349_5334138","I Don`t speak german, but I thing I can understand that you are asking if anyone have experience with humira. My husband has morbus crohns and humira has worked very well for him :D",
"Humira","269906376385108","Humira","de","269906376385108_469243946451349","Mus mal fragen. Was sind sure erfahrungen mit humira? Ich soll morgen damit anfangen und bin mir bis jetzte noch nicht sicher oder total je erzeugt davon.",,"de","469243946451349_5427866","ich nehm es seid november...haut wird von tag zu tag besser und die gelenkschmerzen sind auch fast weg..:-)...über dieses mittel ist die meinung sehr gespalten....ich hab es einfach rikiert...muss jeder für sich entscheiden...hab bis jetzt keine nebenwirkung...",
"Humira","269906376385108","Humira","de","269906376385108_469243946451349","Mus mal fragen. Was sind sure erfahrungen mit humira? Ich soll morgen damit anfangen und bin mir bis jetzte noch nicht sicher oder total je erzeugt davon.",,"de","469243946451349_5710421","Hy, ich nehme das Medi auch seit November. Bevor ich damit begonnen habe, hätte ich nicht gedacht wieder ein halbwegs normales Leben zu führen. Schon nach den ersten Spritzen merkte ich deutliche Verbesserung, was auch zur einer bedeutenden Steigerung meiner Lebensqualität führte :-) Klar können die Meinungen sehr unterschiedlich sein und sicherlich habe auch ich Nebenwirkungen. Aber es ist auch sehr abzuwägen, wie ging es mir vorher? Ich war echt am Ende und war auch nicht mehr arbeitsfähig. Vollgepumpt mit sämtlichen anderen Medis die bei weitem schädigender für meinen Körper waren. Und was sind Nebenwirkungen .... eigentlich sind die Beschwerden weshalb man ja Humira bekommt genauso wenn eben nicht noch schlimmer. Ich freu mich auch jemanden gefunden zu haben, der Humira nimmt, vielleicht kann man sich ja mal ein bisschen austauschen und auch mal Tipps geben und bekommen um dann noch besser mit den Nebenwirkungen klarzukommen. Auch muss ich sagen, gerade mit meinem Beschwerdebild stand ich oft alleine und mit Unverständnis da. Von mir bekommt Humira auf jeden Fall ein Like!",
