/name,/id,/keyword,/posts/origLang,/posts/id,/posts/message,/posts/comments/origLang,/posts/comments/id,/posts/comments/message
"Imbruvica","162710437273604","Imbruvica",,,,,,
"Imbruvica","1249679301712142","Imbruvica","en","1249679301712142_1524426757570727","My husband was diagnosed with CLL/SLL in April 2016. He has the chromosome deletion and his oncologist put him on imbruvica. His blood work has improved so much that Dr. Noy calls it a miracle. Thank you so much for being a part of this team that is helping him.","it","1524426757570727_1533309483349121","Welcome"
"Imbruvica","1249679301712142","Imbruvica","","1249679301712142_1521983274481742",,"fr","1521983274481742_1586738304672905","mon conjoint doit attendre avant de les prendre car car il faut qu il change un médic qu il prend déja"
"Imbruvica","1249679301712142","Imbruvica","","1249679301712142_1521983274481742",,"en","1521983274481742_1594970440516358","Good luck."
"Imbruvica","1249679301712142","Imbruvica","ro","1249679301712142_1249680308378708","Imbrucica",,,
"Imbruvica","1249679301712142","Imbruvica","","1249679301712142_1249679938378745",,,,
"Remédio Imbruvica","251246351968472","Imbruvica","","251246351968472_251249205301520",,,,
"Remédio Imbruvica","251246351968472","Imbruvica","pt","251246351968472_251248448634929","Mais informações no site: imbruvicaremedio.blogspot.com.br/",,,
"Remédio Imbruvica","251246351968472","Imbruvica","pt","251246351968472_251247755301665","PRODUTO: IMBRUVICA 140 mg - 90 CÁPSULAS.\nPREÇO: R$ 35.900,00.\nNº DE ITENS NO ESTOQUE: 10 caixas.\nENTREGA: em até 10 dias úteis.\nFABRICANTE: Laboratório Janssen-Cilag.\nVENDA SOMENTE COM RECEITA MÉDICA.",,,
"Remédio Imbruvica","251246351968472","Imbruvica","pt","251246351968472_251247498635024","A revista Exame, da Editora Abril, fez uma reportagem, em fevereiro de 2015, a respeito do medicamento \"Imbruvica\".\n\nConfira: http://exame.abril.com.br/negocios/remedio-contra-o-cancer-pode-valer-us-18-bilhoes/",,,
"Remédio Imbruvica","251246351968472","Imbruvica","","251246351968472_251246678635106",,,,
